x1,y1,x2,y2,index1,index2
700,350,28,489,0,87
28,489,671,489,87,13
671,489,24,478,13,88
24,478,666,499,88,14
666,499,20,468,14,89
20,468,661,508,89,15
661,508,17,458,15,90
17,458,656,518,90,16
656,518,94,589,16,76
94,589,619,573,76,22
619,573,80,573,22,78
80,573,612,581,78,23
612,581,87,581,23,77
87,581,619,573,77,22
619,573,80,573,22,78
80,573,612,581,78,23
612,581,87,581,23,77
87,581,619,573,77,22
619,573,80,573,22,78
80,573,612,581,78,23
612,581,87,581,23,77
87,581,619,573,77,22
619,573,80,573,22,78
80,573,612,581,78,23
612,581,87,581,23,77
87,581,619,573,77,22
619,573,73,564,22,79
73,564,605,589,79,24
605,589,295,4,24,145
295,4,573,619,145,28
573,619,317,1,28,147
317,1,564,626,147,29
564,626,328,0,29,148
328,0,555,633,148,30
555,633,339,0,30,149
339,0,564,626,149,29
564,626,317,1,29,147
317,1,573,619,147,28
573,619,306,2,28,146
306,2,581,612,146,27
581,612,295,4,27,145
295,4,573,619,145,28
573,619,306,2,28,146
306,2,581,612,146,27
581,612,317,1,27,147
317,1,564,626,147,29
564,626,328,0,29,148
328,0,555,633,148,30
555,633,349,0,30,150
349,0,144,633,150,70
144,633,371,0,70,152
371,0,135,626,152,71
135,626,382,1,71,153
382,1,126,619,153,72
126,619,393,2,72,154
393,2,118,612,154,73
118,612,404,4,73,155
404,4,126,619,155,72
126,619,382,1,72,153
382,1,135,626,153,71
135,626,371,0,71,152
371,0,144,633,152,70
144,633,360,0,70,151
360,0,135,626,151,71
135,626,382,1,71,153
382,1,126,619,153,72
126,619,393,2,72,154
393,2,118,612,154,73
118,612,382,1,73,153
382,1,135,626,153,71
135,626,371,0,71,152
371,0,144,633,152,70
144,633,360,0,70,151
360,0,135,626,151,71
135,626,371,0,71,152
371,0,126,619,152,72
126,619,393,2,72,154
393,2,118,612,154,73
118,612,404,4,73,155
404,4,126,619,155,72
126,619,382,1,72,153
382,1,135,626,153,71
135,626,371,0,71,152
371,0,144,633,152,70
144,633,360,0,70,151
360,0,135,626,151,71
135,626,382,1,71,153
382,1,126,619,153,72
126,619,393,2,72,154
393,2,241,682,154,60
241,682,404,4,60,155
404,4,231,679,155,61
231,679,415,6,61,156
415,6,221,675,156,62
221,675,426,8,62,157
426,8,210,671,157,63
210,671,437,10,63,158
437,10,200,666,158,64
200,666,447,13,64,159
447,13,191,661,159,65
191,661,458,17,65,160
458,17,181,656,160,66
181,656,468,20,66,161
468,20,171,651,161,67
171,651,564,73,67,171
564,73,191,661,171,65
191,661,468,20,65,161
468,20,171,651,161,67
171,651,573,80,67,172
573,80,181,656,172,66
181,656,546,60,66,169
546,60,102,597,169,75
102,597,671,489,75,13
671,489,28,489,13,87
28,489,675,478,87,12
675,478,33,499,12,86
33,499,679,468,86,11
679,468,38,508,11,85
38,508,682,458,85,10
682,458,43,518,10,84
43,518,686,447,84,9
686,447,4,404,9,95
4,404,689,437,95,8
689,437,8,426,8,93
8,426,693,415,93,6
693,415,10,437,6,92
10,437,651,528,92,17
651,528,13,447,17,91
13,447,695,404,91,5
695,404,10,437,5,92
10,437,691,426,92,7
691,426,6,415,7,94
6,415,689,437,94,8
689,437,48,528,8,83
48,528,686,447,83,9
686,447,4,404,9,95
4,404,689,437,95,8
689,437,54,537,8,82
54,537,605,589,82,24
605,589,80,573,24,78
80,573,626,564,78,21
626,564,94,589,21,76
94,589,612,581,76,23
612,581,87,581,23,77
87,581,605,589,77,24
605,589,43,518,24,84
43,518,682,458,84,10
682,458,2,393,10,96
2,393,686,447,96,9
686,447,48,528,9,83
48,528,682,458,83,10
682,458,38,508,10,85
38,508,679,468,85,11
679,468,33,499,11,86
33,499,671,489,86,13
671,489,24,478,13,88
24,478,666,499,88,14
666,499,28,489,14,87
28,489,675,478,87,12
675,478,33,499,12,86
33,499,671,489,86,13
671,489,102,597,13,75
102,597,404,4,75,155
404,4,126,619,155,72
126,619,393,2,72,154
393,2,135,626,154,71
135,626,371,0,71,152
371,0,126,619,152,72
126,619,415,6,72,156
415,6,221,675,156,62
221,675,426,8,62,157
426,8,210,671,157,63
210,671,437,10,63,158
437,10,200,666,158,64
200,666,447,13,64,159
447,13,191,661,159,65
191,661,458,17,65,160
458,17,328,699,160,52
328,699,393,2,52,154
393,2,110,605,154,74
110,605,404,4,74,155
404,4,126,619,155,72
126,619,415,6,72,156
415,6,221,675,156,62
221,675,426,8,62,157
426,8,210,671,157,63
210,671,447,13,63,159
447,13,349,700,159,50
349,700,393,2,50,154
393,2,135,626,154,71
135,626,349,0,71,150
349,0,564,626,150,29
564,626,328,0,29,148
328,0,555,633,148,30
555,633,339,0,30,149
339,0,564,626,149,29
564,626,317,1,29,147
317,1,573,619,147,28
573,619,306,2,28,146
306,2,581,612,146,27
581,612,295,4,27,145
295,4,589,605,145,26
589,605,306,2,26,146
306,2,573,619,146,28
573,619,317,1,28,147
317,1,564,626,147,29
564,626,328,0,29,148
328,0,546,639,148,31
546,639,339,0,31,149
339,0,564,626,149,29
564,626,306,2,29,146
306,2,573,619,146,28
573,619,284,6,28,144
284,6,478,675,144,38
478,675,273,8,38,143
273,8,489,671,143,37
489,671,262,10,37,142
262,10,499,666,142,36
499,666,252,13,36,141
252,13,508,661,141,35
508,661,241,17,35,140
241,17,518,656,140,34
518,656,231,20,34,139
231,20,528,651,139,33
528,651,144,66,33,130
144,66,605,589,130,24
605,589,80,573,24,78
80,573,626,564,78,21
626,564,135,626,21,71
135,626,666,200,71,186
666,200,126,619,186,72
126,619,426,8,72,157
426,8,210,671,157,63
210,671,415,6,63,156
