x1,y1,x2,y2,index1,index2
700,350,1,382,0,97
1,382,589,605,97,26
589,605,66,555,26,80
66,555,612,581,80,23
612,581,80,573,23,78
80,573,619,573,78,22
619,573,87,581,22,77
87,581,612,581,77,23
612,581,73,564,23,79
73,564,619,573,79,22
619,573,87,581,22,77
87,581,626,564,77,21
626,564,80,573,21,78
80,573,612,581,78,23
612,581,87,581,23,77
87,581,626,564,77,21
626,564,80,573,21,78
80,573,619,573,78,22
619,573,73,564,22,79
73,564,612,581,79,23
612,581,87,581,23,77
87,581,619,573,77,22
619,573,73,564,22,79
73,564,612,581,79,23
612,581,80,573,23,78
80,573,626,564,78,21
626,564,87,581,21,77
87,581,612,581,77,23
612,581,80,573,23,78
80,573,619,573,78,22
619,573,87,581,22,77
87,581,612,581,77,23
612,581,73,564,23,79
73,564,605,589,79,24
605,589,66,555,24,80
66,555,612,581,80,23
612,581,87,581,23,77
87,581,626,564,77,21
626,564,94,589,21,76
94,589,633,555,76,20
633,555,87,581,20,77
87,581,619,573,77,22
619,573,73,564,22,79
73,564,605,589,79,24
605,589,80,573,24,78
80,573,626,564,78,21
626,564,94,589,21,76
94,589,619,573,76,22
619,573,80,573,22,78
80,573,626,564,78,21
626,564,94,589,21,76
94,589,633,555,76,20
633,555,87,581,20,77
87,581,612,581,77,23
612,581,80,573,23,78
80,573,619,573,78,22
619,573,73,564,22,79
73,564,605,589,79,24
605,589,66,555,24,80
66,555,675,478,80,12
675,478,48,528,12,83
48,528,671,489,83,13
671,489,43,518,13,84
43,518,666,499,84,14
666,499,33,499,14,86
33,499,661,508,86,15
661,508,38,508,15,85
38,508,666,499,85,14
666,499,33,499,14,86
33,499,661,508,86,15
661,508,28,489,15,87
28,489,666,499,87,14
666,499,38,508,14,85
38,508,661,508,85,15
661,508,28,489,15,87
28,489,656,518,87,16
656,518,24,478,16,88
24,478,661,508,88,15
661,508,38,508,15,85
38,508,671,489,85,13
671,489,43,518,13,84
43,518,666,499,84,14
666,499,28,489,14,87
28,489,661,508,87,15
