x1,y1,x2,y2,index1,index2
700,350,110,94,0,126
110,94,489,671,126,37
489,671,118,87,37,127
118,87,162,645,127,68
162,645,135,73,68,129
135,73,153,639,129,69
153,639,144,66,69,130
144,66,144,633,130,70
144,633,153,60,70,131
153,60,153,639,131,69
153,639,144,66,69,130
144,66,144,633,130,70
144,633,153,60,70,131
153,60,153,639,131,69
153,639,144,66,69,130
144,66,144,633,130,70
144,633,153,60,70,131
153,60,153,639,131,69
153,639,144,66,69,130
144,66,144,633,130,70
144,633,153,60,70,131
153,60,153,639,131,69
153,639,144,66,69,130
144,66,162,645,130,68
162,645,135,73,68,129
135,73,153,639,129,69
153,639,153,60,69,131
153,60,135,626,131,71
135,626,555,66,71,170
555,66,66,144,170,120
66,144,518,656,120,34
518,656,73,135,34,121
73,135,605,110,121,176
605,110,54,162,176,118
54,162,528,651,118,33
528,651,66,144,33,120
66,144,605,110,120,176
605,110,80,126,176,122
80,126,508,661,122,35
508,661,94,110,35,124
94,110,499,666,124,36
499,666,102,102,36,125
102,102,489,671,125,37
489,671,126,80,37,128
126,80,589,605,128,26
589,605,80,573,26,78
80,573,612,581,78,23
612,581,87,581,23,77
87,581,619,573,77,22
619,573,80,573,22,78
80,573,478,24,78,162
478,24,73,564,162,79
73,564,489,28,79,163
489,28,66,555,163,80
66,555,478,24,80,162
478,24,73,564,162,79
73,564,489,28,79,163
489,28,60,546,163,81
60,546,499,33,81,164
499,33,54,537,164,82
54,537,508,38,82,165
508,38,48,528,165,83
48,528,499,33,83,164
499,33,60,546,164,81
60,546,489,28,81,163
489,28,66,555,163,80
66,555,499,33,80,164
499,33,54,537,164,82
54,537,605,589,82,24
605,589,80,573,24,78
80,573,612,581,78,23
612,581,87,581,23,77
87,581,619,573,77,22
619,573,80,573,22,78
80,573,478,24,78,162
478,24,73,564,162,79
73,564,489,28,79,163
489,28,66,555,163,80
66,555,478,24,80,162
478,24,80,573,162,78
80,573,612,581,78,23
612,581,87,581,23,77
87,581,619,573,77,22
619,573,80,573,22,78
80,573,468,20,78,161
468,20,87,581,161,77
87,581,612,581,77,23
612,581,80,573,23,78
80,573,619,573,78,22
619,573,94,589,22,76
94,589,573,80,76,172
573,80,80,573,172,78
80,573,605,589,78,24
605,589,60,546,24,81
60,546,499,33,81,164
499,33,54,537,164,82
54,537,508,38,82,165
508,38,43,518,165,84
43,518,518,43,84,166
518,43,38,508,166,85
38,508,508,38,85,165
508,38,48,528,165,83
48,528,605,589,83,24
605,589,66,555,24,80
66,555,499,33,80,164
499,33,60,546,164,81
60,546,489,28,81,163
489,28,73,564,163,79
73,564,573,80,79,172
573,80,80,573,172,78
80,573,581,87,78,173
581,87,20,468,173,89
20,468,518,43,89,166
518,43,126,619,166,72
126,619,555,66,72,170
555,66,66,144,170,120
66,144,612,118,120,177
612,118,87,118,177,123
87,118,508,661,123,35
508,661,94,110,35,124
94,110,499,666,124,36
