x1,y1,x2,y2,index1,index2
700,350,60,153,0,119
60,153,605,110,119,176
605,110,80,126,176,122
80,126,612,118,122,177
612,118,87,118,177,123
87,118,619,126,123,178
619,126,80,126,178,122
80,126,612,118,122,177
612,118,87,118,177,123
87,118,619,126,123,178
619,126,80,126,178,122
80,126,612,118,122,177
612,118,87,118,177,123
87,118,619,126,123,178
619,126,80,126,178,122
80,126,605,110,122,176
605,110,73,135,176,121
73,135,612,118,121,177
612,118,87,118,177,123
87,118,626,135,123,179
626,135,94,110,179,124
94,110,619,126,124,178
619,126,80,126,178,122
80,126,612,118,122,177
612,118,73,135,177,121
73,135,605,110,121,176
605,110,80,126,176,122
80,126,619,126,122,178
619,126,94,110,178,124
94,110,626,135,124,179
626,135,87,118,179,123
87,118,619,126,123,178
619,126,94,110,178,124
94,110,612,118,124,177
612,118,73,135,177,121
73,135,605,110,121,176
605,110,87,118,176,123
87,118,626,135,123,179
626,135,94,110,179,124
94,110,633,144,124,180
633,144,24,221,180,112
24,221,656,181,112,184
656,181,33,200,184,114
33,200,661,191,114,185
661,191,38,191,185,115
38,191,666,200,115,186
666,200,33,200,186,114
33,200,661,191,114,185
661,191,38,191,185,115
38,191,666,200,115,186
666,200,33,200,186,114
33,200,661,191,114,185
661,191,38,191,185,115
38,191,666,200,115,186
666,200,43,181,186,116
43,181,671,210,116,187
671,210,54,162,187,118
54,162,689,262,118,192
689,262,48,171,192,117
48,171,666,200,117,186
666,200,33,200,186,114
33,200,656,181,114,184
656,181,28,210,184,113
28,210,661,191,113,185
661,191,33,200,185,114
33,200,666,200,114,186
666,200,43,181,186,116
43,181,671,210,116,187
671,210,38,191,187,115
38,191,666,200,115,186
666,200,33,200,186,114
33,200,656,181,114,184
656,181,28,210,184,113
28,210,661,191,113,185
661,191,38,191,185,115
38,191,666,200,115,186
666,200,43,181,186,116
43,181,671,210,116,187
671,210,38,191,187,115
38,191,656,181,115,184
656,181,28,210,184,113
28,210,639,153,113,181
639,153,94,110,181,124
94,110,612,118,124,177
612,118,80,126,177,122
80,126,619,126,122,178
619,126,87,118,178,123
87,118,612,118,123,177
612,118,73,135,177,121
73,135,597,102,121,175
597,102,66,144,175,120
66,144,605,110,120,176
605,110,87,118,176,123
87,118,626,135,123,179
626,135,102,102,179,125
102,102,633,144,125,180
633,144,94,110,180,124
94,110,619,126,124,178
619,126,102,102,178,125
102,102,626,135,125,179
626,135,110,94,179,126
110,94,633,144,126,180
633,144,87,118,180,123
87,118,626,135,123,179
626,135,94,110,179,124
94,110,639,153,124,181
639,153,87,118,181,123
87,118,605,110,123,176
605,110,66,144,176,120
66,144,612,118,120,177
612,118,60,153,177,119
60,153,671,210,119,187
671,210,43,181,187,116
43,181,661,191,116,185
661,191,33,200,185,114
33,200,666,200,114,186
666,200,43,181,186,116
43,181,675,221,116,188
675,221,66,144,188,120
66,144,605,110,120,176
605,110,80,126,176,122
80,126,597,102,122,175
597,102,73,135,175,121
73,135,589,94,121,174
589,94,273,691,174,57
273,691,328,0,57,148
328,0,295,695,148,55
295,695,317,1,55,147
317,1,284,693,147,56
284,693,328,0,56,148
328,0,295,695,148,55
295,695,317,1,55,147
317,1,284,693,147,56
284,693,328,0,56,148
328,0,295,695,148,55
295,695,317,1,55,147
317,1,306,697,147,54
306,697,306,2,54,146
306,2,295,695,146,55
295,695,317,1,55,147
317,1,306,697,147,54
306,697,295,4,54,145
295,4,317,698,145,53
317,698,284,6,53,144
284,6,328,699,144,52
328,699,273,8,52,143
273,8,317,698,143,53
317,698,295,4,53,145
295,4,306,697,145,54
306,697,306,2,54,146
306,2,295,695,146,55
295,695,317,1,55,147
317,1,306,697,147,54
306,697,306,2,54,146
306,2,295,695,146,55
295,695,317,1,55,147
317,1,415,693,147,44
415,693,371,0,44,152
371,0,404,695,152,45
404,695,382,1,45,153
382,1,393,697,153,46
393,697,393,2,46,154
393,2,382,698,154,47
382,698,404,4,47,155
404,4,371,699,155,48
371,699,415,6,48,156
415,6,382,698,156,47
382,698,393,2,47,154
393,2,393,697,154,46
393,697,382,1,46,153
382,1,404,695,153,45
404,695,371,0,45,152
371,0,393,697,152,46
393,697,393,2,46,154
393,2,382,698,154,47
382,698,404,4,47,155
404,4,371,699,155,48
371,699,415,6,48,156
415,6,360,699,156,49
360,699,404,4,49,155
404,4,382,698,155,47
382,698,393,2,47,154
393,2,393,697,154,46
393,697,382,1,46,153
382,1,404,695,153,45
404,695,360,0,45,151
360,0,415,693,151,44
415,693,371,0,44,152
371,0,404,695,152,45
404,695,360,0,45,151
360,0,426,691,151,43
426,691,371,0,43,152
371,0,393,697,152,46
393,697,382,1,46,153
382,1,404,695,153,45
404,695,371,0,45,152
371,0,393,697,152,46
393,697,393,2,46,154
393,2,382,698,154,47
382,698,404,4,47,155
404,4,371,699,155,48
371,699,426,8,48,157
426,8,360,699,157,49
360,699,273,8,49,143
273,8,339,699,143,51
339,699,284,6,51,144
284,6,317,698,144,53
317,698,295,4,53,145
295,4,306,697,145,54
306,697,306,2,54,146
306,2,295,695,146,55
295,695,328,0,55,148
328,0,284,693,148,56
284,693,339,0,56,149
339,0,295,695,149,55
295,695,581,87,55,173
581,87,328,699,173,52
328,699,284,6,52,144
284,6,317,698,144,53
317,698,295,4,53,145
295,4,306,697,145,54
306,697,306,2,54,146
306,2,317,698,146,53
317,698,295,4,53,145
295,4,328,699,145,52
328,699,262,10,52,142
262,10,349,700,142,50
349,700,415,6,50,156
415,6,382,698,156,47
382,698,404,4,47,155
404,4,360,699,155,49
360,699,415,6,49,156
415,6,382,698,156,47
382,698,118,87,47,127
118,87,626,135,127,179
626,135,110,94,179,126
110,94,679,231,126,189
679,231,43,181,189,116
43,181,661,191,116,185
661,191,38,191,185,115
38,191,656,181,115,184
656,181,20,231,184,111
20,231,597,102,111,175
597,102,13,252,175,109
13,252,651,171,109,183
651,171,33,200,183,114
33,200,656,181,114,184
656,181,24,221,184,112
24,221,626,135,112,179
626,135,80,126,179,122
80,126,589,94,122,174
589,94,73,135,174,121
73,135,605,110,121,176
605,110,60,153,176,119
60,153,671,210,119,187
671,210,38,191,187,115
38,191,675,221,115,188
675,221,43,181,188,116
43,181,679,231,116,189
679,231,102,102,189,125
102,102,682,241,125,190
682,241,48,171,190,117
48,171,686,252,117,191
686,252,102,102,191,125
102,102,537,645,125,32
537,645,555,66,32,170
555,66,508,661,170,35
508,661,4,404,35,95
4,404,221,24,95,138
221,24,339,699,138,51
339,699,284,6,51,144
284,6,328,699,144,52
328,699,295,4,52,145
295,4,306,697,145,54
306,697,306,2,54,146
306,2,10,262,146,108
10,262,651,171,108,183
651,171,17,241,183,110
17,241,656,181,110,184
656,181,20,231,184,111
20,231,626,135,111,179
626,135,110,94,179,126
110,94,458,682,126,40
458,682,564,73,40,171
564,73,437,689,171,42
437,689,360,0,42,151
360,0,404,695,151,45
404,695,118,87,45,127
118,87,371,699,127,48
371,699,437,10,48,158
437,10,360,699,158,49
360,699,447,13,49,159
447,13,371,699,159,48
371,699,426,8,48,157
426,8,339,699,157,51
339,699,284,6,51,144
284,6,349,700,144,50
349,700,437,10,50,158
437,10,371,699,158,48
371,699,126,80,48,128
126,80,382,698,128,47
382,698,426,8,47,157
426,8,317,698,157,53
